State,Offender Age,Data Year,Count:  Crimes Against Society,Count:  Fraud and Other Financial Crimes,Count:  Property Crime,Count:  Violent Crime,Rate:  Crimes Against Society,Rate:  Fraud and Other Financial Crimes,Rate:  Property Crime,Rate:  Violent Crime
VA,15-24,2022,10864,3381,16335,20983,125.18,38.95,188.21,241.76
VT,15-24,2016,490,91,1010,751,76.2,14.15,157.06,116.78
VT,15-24,2017,412,77,859,683,64.06,11.98,133.58,106.21
VT,15-24,2018,364,152,881,857,56.6,23.64,137.0,133.26
VT,15-24,2019,274,89,827,861,42.61,13.84,128.6,133.89
VT,15-24,2020,175,73,617,689,27.22,11.36,95.96,107.17
VT,15-24,2021,198,120,653,771,30.6,18.54,100.91,119.15
VT,15-24,2022,206,77,607,831,31.84,11.9,93.8,128.42
WA,15-24,2016,8136,1881,25502,17285,105.59,24.41,330.97,224.33
WA,15-24,2017,7739,1947,24042,17924,100.44,25.27,312.02,232.62
WA,15-24,2018,7364,1991,21762,18590,95.58,25.84,282.43,241.26
WA,15-24,2019,6371,1798,18722,17562,82.68,23.34,242.97,227.92
WA,15-24,2020,4669,1325,17062,15122,60.44,17.15,220.88,195.77
WA,15-24,2021,2427,990,13274,14035,31.35,12.79,171.46,181.3
WA,15-24,2022,2688,982,14948,15909,34.53,12.62,192.02,204.37
WI,15-24,2016,9469,1216,12558,9466,160.66,20.63,213.07,160.62
WI,15-24,2017,10331,1291,12812,10199,175.29,21.9,217.38,173.05
WI,15-24,2018,11189,1350,11517,9726,189.85,22.91,195.41,165.02
WI,15-24,2019,11345,1359,11547,9784,192.5,23.06,195.92,166.01
WI,15-24,2020,11520,1290,11589,10105,195.36,21.87,196.53,171.37
WI,15-24,2021,13248,1391,11557,11625,225.3,23.66,196.55,197.7
WI,15-24,2022,13578,1233,11813,11210,230.51,20.93,200.55,190.3
WV,15-24,2016,3279,584,4603,3641,182.81,32.56,256.62,202.99
WV,15-24,2017,3377,519,3676,3327,188.27,28.94,204.94,185.48
WV,15-24,2018,2757,319,2690,2543,153.7,17.78,149.97,141.77
WV,15-24,2019,2137,248,2120,2251,119.13,13.82,118.19,125.49
WV,15-24,2020,2269,208,2029,2264,126.65,11.61,113.26,126.37
WV,15-24,2021,2458,207,2017,2379,137.68,11.59,112.99,133.26
WV,15-24,2022,2168,212,2025,2411,122.21,11.95,114.15,135.9
WY,15-24,2019,106,7,76,95,18.38,1.21,13.18,16.47
WY,15-24,2020,232,16,194,210,40.16,2.77,33.58,36.35
WY,15-24,2021,1094,57,855,1310,188.76,9.83,147.53,226.03
WY,15-24,2022,1115,69,902,1258,191.7,11.86,155.08,216.29
